"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Prickly Plains","-","Bland Queso","-","60.40%","Spice Seer",669742
"Prickly Plains","-","Bland Queso","-","39.60%","Old Spice Collector",669742
"Prickly Plains","-","Mild Queso","-","50.45%","Spice Farmer",492728
"Prickly Plains","-","Mild Queso","-","49.55%","Granny Spice",492728
"Prickly Plains","-","Medium Queso","-","56.30%","Spice Finder",326174
"Prickly Plains","-","Medium Queso","-","43.70%","Spice Sovereign",326174
"Prickly Plains","-","Hot Queso","-","59.39%","Spice Reaper",225732
"Prickly Plains","-","Hot Queso","-","40.61%","Spice Raider",225732
"Prickly Plains","-","Flamin' Queso","-","100.00%","Inferna the Engulfed",168880
