"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cantera Quarry","-","Bland Queso","-","59.74%","Chip Chiseler",59868
"Cantera Quarry","-","Bland Queso","-","40.26%","Tiny Toppler",59868
"Cantera Quarry","-","Mild Queso","-","50.88%","Ore Chipper",49492
"Cantera Quarry","-","Mild Queso","-","49.12%","Rubble Rummager",49492
"Cantera Quarry","-","Medium Queso","-","60.15%","Nachore Golem",54811
"Cantera Quarry","-","Medium Queso","-","39.85%","Rubble Rouser",54811
"Cantera Quarry","-","Hot Queso","-","50.69%","Grampa Golem",83715
"Cantera Quarry","-","Hot Queso","-","49.31%","Fiery Crusher",83715
"Cantera Quarry","-","Flamin' Queso","-","100.00%","Nachous the Molten",190645
