"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","On Bounty","SB+","-","3.44%","White",7464
"Harbour","On Bounty","SB+","-","2.87%","Grey",7464
"Harbour","On Bounty","SB+","-","2.76%","Brown",7464
"Harbour","On Bounty","SB+","-","2.22%","Magic",7464
"Harbour","On Bounty","SB+","-","2.06%","Fog",7464
"Harbour","On Bounty","SB+","-","2.02%","Steel",7464
"Harbour","On Bounty","SB+","-","2.00%","Pugilist",7464
"Harbour","On Bounty","SB+","-","1.92%","Bionic",7464
"Harbour","On Bounty","SB+","-","1.89%","Granite",7464
"Harbour","On Bounty","SB+","-","1.89%","Scruffy",7464
"Harbour","On Bounty","SB+","-","1.69%","Dwarf",7464
"Harbour","On Bounty","SB+","-","1.63%","Silvertail",7464
"Harbour","On Bounty","SB+","-","1.30%","Gold",7464
"Harbour","On Bounty","SB+","-","1.15%","Diamond",7464
"Harbour","On Bounty","SB+","-","0.44%","Black Widow",7464
"Harbour","On Bounty","Gouda","-","10.87%","Bilged Boatswain",4656
"Harbour","On Bounty","Gouda","-","10.80%","Corrupt Commodore",4656
"Harbour","On Bounty","Gouda","-","10.72%","Cabin Boy",4656
"Harbour","On Bounty","Gouda","-","10.40%","Barmy Gunner",4656
"Harbour","On Bounty","Gouda","-","10.35%","Dashing Buccaneer",4656
"Harbour","On Bounty","Gouda","-","9.75%","Pirate",4656
"Harbour","On Bounty","Gouda","-","4.38%","Dwarf",4656
"Harbour","On Bounty","Gouda","-","4.36%","Scruffy",4656
"Harbour","On Bounty","Gouda","-","3.44%","Granite",4656
"Harbour","On Bounty","Gouda","-","3.41%","Spotted",4656
"Harbour","On Bounty","Gouda","-","3.05%","White",4656
"Harbour","On Bounty","Gouda","-","3.01%","Pugilist",4656
"Harbour","On Bounty","Gouda","-","3.01%","Brown",4656
"Harbour","On Bounty","Gouda","-","2.96%","Steel",4656
"Harbour","On Bounty","Gouda","-","2.49%","Grey",4656
"Harbour","On Bounty","Gouda","-","2.43%","Bionic",4656
"Harbour","On Bounty","Gouda","-","2.41%","Diamond",4656
"Harbour","On Bounty","Gouda","-","2.17%","Gold",4656
"Harbour","On Bounty","Brie","-","11.14%","Bilged Boatswain",5835
"Harbour","On Bounty","Brie","-","10.95%","Corrupt Commodore",5835
"Harbour","On Bounty","Brie","-","10.93%","Dashing Buccaneer",5835
"Harbour","On Bounty","Brie","-","10.49%","Cabin Boy",5835
"Harbour","On Bounty","Brie","-","10.09%","Barmy Gunner",5835
"Harbour","On Bounty","Brie","-","9.08%","Pirate",5835
"Harbour","On Bounty","Brie","-","4.30%","Dwarf",5835
"Harbour","On Bounty","Brie","-","4.22%","Scruffy",5835
"Harbour","On Bounty","Brie","-","4.20%","Burglar",5835
"Harbour","On Bounty","Brie","-","3.67%","Spotted",5835
"Harbour","On Bounty","Brie","-","3.44%","White",5835
"Harbour","On Bounty","Brie","-","2.90%","Grey",5835
"Harbour","On Bounty","Brie","-","2.76%","Brown",5835
"Harbour","On Bounty","Brie","-","2.16%","Diamond",5835
"Harbour","On Bounty","Brie","-","2.11%","Pugilist",5835
"Harbour","On Bounty","Brie","-","2.04%","Steel",5835
"Harbour","On Bounty","Brie","-","2.02%","Granite",5835
"Harbour","On Bounty","Brie","-","1.80%","Bionic",5835
"Harbour","On Bounty","Brie","-","1.70%","Gold",5835
