"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","2.13%","Parlour Player",3709
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","0.81%","Stowaway",3709
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","24.07%","Cute Crate Carrier",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","18.08%","Crate Camo",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","8.01%","Travelling Barber",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","7.46%","Mysterious Traveller",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","6.97%","Angry Train Staff",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","6.43%","Photographer",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","6.26%","Passenger",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","6.10%","Train Conductor",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","3.38%","Stowaway",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","2.51%","Upper Class Lady",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","2.51%","Tonic Salesman",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","2.40%","Farrier",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","2.12%","Bartender",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","1.85%","Stuffy Banker",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","1.74%","Parlour Player",1836
"Gnawnian Express Station","Supply Depot (No Rush)","SB+","Supply Schedule","0.11%","Warehouse Manager",1836
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","26.65%","Cute Crate Carrier",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","18.73%","Crate Camo",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","6.77%","Travelling Barber",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","6.71%","Mysterious Traveller",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","6.34%","Angry Train Staff",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","6.34%","Photographer",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","6.34%","Train Conductor",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","5.92%","Passenger",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","3.56%","Upper Class Lady",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","2.54%","Parlour Player",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","2.18%","Stuffy Banker",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","2.05%","Farrier",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","1.99%","Bartender",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","1.75%","Tonic Salesman",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","1.51%","Warehouse Manager",1655
"Gnawnian Express Station","Supply Depot (No Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","Supply Schedule","0.60%","Stowaway",1655
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","49.53%","Supply Hoarder",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","8.46%","Cute Crate Carrier",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","6.52%","Crate Camo",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.50%","Angry Train Staff",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.35%","Mysterious Traveller",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.32%","Passenger",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.26%","Train Conductor",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","3.99%","Photographer",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","3.75%","Travelling Barber",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","2.08%","Stowaway",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.99%","Upper Class Lady",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.36%","Stuffy Banker",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.33%","Farrier",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.30%","Tonic Salesman",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.27%","Bartender",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.00%","Parlour Player",3311
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","52.21%","Supply Hoarder",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","8.00%","Cute Crate Carrier",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","6.07%","Crate Camo",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","4.54%","Mysterious Traveller",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","4.40%","Photographer",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","4.35%","Passenger",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","4.19%","Angry Train Staff",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","4.13%","Train Conductor",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","3.95%","Travelling Barber",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.53%","Upper Class Lady",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.32%","Bartender",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.29%","Parlour Player",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.29%","Farrier",3725
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda/Brie/Swiss/White Cheddar/Marble/Mozzarella/Cheddar","-","1.26%","Tonic Salesman",3725
