"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Floating Islands","Arcane Palace - 4x Emp Seal","Cloud Cheesecake","-","4.35%","Sky Glass Glazier",115
"Floating Islands","Arcane Low","Extra Rich Cloud Cheesecake","-","40.24%","Sky Glass Sorcerer",6983
"Floating Islands","Arcane Low","Extra Rich Cloud Cheesecake","-","39.30%","Sky Glass Glazier",6983
"Floating Islands","Arcane Low","Extra Rich Cloud Cheesecake","-","20.46%","Sky Dancer",6983
"Floating Islands","Arcane High","Extra Rich Cloud Cheesecake","-","49.54%","Sky Glass Sorcerer",2848
"Floating Islands","Arcane High","Extra Rich Cloud Cheesecake","-","30.09%","Sky Glass Glazier",2848
"Floating Islands","Arcane High","Extra Rich Cloud Cheesecake","-","10.96%","Sky Dancer",2848
"Floating Islands","Arcane High","Extra Rich Cloud Cheesecake","-","9.41%","Sky Highborne",2848
"Floating Islands","Arcane Palace","Extra Rich Cloud Cheesecake","-","34.01%","Sky Glider",8285
"Floating Islands","Arcane Palace","Extra Rich Cloud Cheesecake","-","25.85%","Sky Glass Sorcerer",8285
"Floating Islands","Arcane Palace","Extra Rich Cloud Cheesecake","-","25.15%","Sky Glass Glazier",8285
"Floating Islands","Arcane Palace","Extra Rich Cloud Cheesecake","-","14.98%","Sky Dancer",8285
"Floating Islands","Arcane Palace - 3x Jade","Extra Rich Cloud Cheesecake","-","40.05%","Consumed Charm Tinkerer",427
"Floating Islands","Arcane Palace - 3x Jade","Extra Rich Cloud Cheesecake","-","20.84%","Sky Glider",427
"Floating Islands","Arcane Palace - 3x Jade","Extra Rich Cloud Cheesecake","-","16.39%","Sky Glass Sorcerer",427
"Floating Islands","Arcane Palace - 3x Jade","Extra Rich Cloud Cheesecake","-","15.46%","Sky Glass Glazier",427
"Floating Islands","Arcane Palace - 3x Jade","Extra Rich Cloud Cheesecake","-","7.26%","Sky Dancer",427
"Floating Islands","Arcane Palace - 4x Jade","Extra Rich Cloud Cheesecake","-","38.21%","Consumed Charm Tinkerer",2392
"Floating Islands","Arcane Palace - 4x Jade","Extra Rich Cloud Cheesecake","-","22.87%","Sky Glider",2392
"Floating Islands","Arcane Palace - 4x Jade","Extra Rich Cloud Cheesecake","-","15.89%","Sky Glass Sorcerer",2392
"Floating Islands","Arcane Palace - 4x Jade","Extra Rich Cloud Cheesecake","-","14.88%","Sky Glass Glazier",2392
"Floating Islands","Arcane Palace - 4x Jade","Extra Rich Cloud Cheesecake","-","8.15%","Sky Dancer",2392
"Floating Islands","Arcane Palace - 3x Emp Seal","Extra Rich Cloud Cheesecake","-","29.03%","Sky Glider",1271
"Floating Islands","Arcane Palace - 3x Emp Seal","Extra Rich Cloud Cheesecake","-","21.48%","Empyrean Geologist",1271
"Floating Islands","Arcane Palace - 3x Emp Seal","Extra Rich Cloud Cheesecake","-","19.12%","Sky Glass Glazier",1271
"Floating Islands","Arcane Palace - 3x Emp Seal","Extra Rich Cloud Cheesecake","-","18.73%","Sky Glass Sorcerer",1271
"Floating Islands","Arcane Palace - 3x Emp Seal","Extra Rich Cloud Cheesecake","-","11.64%","Sky Dancer",1271
"Floating Islands","Arcane Palace - 4x Emp Seal","Extra Rich Cloud Cheesecake","-","39.56%","Empyrean Geologist",7025
"Floating Islands","Arcane Palace - 4x Emp Seal","Extra Rich Cloud Cheesecake","-","20.34%","Sky Glider",7025
"Floating Islands","Arcane Palace - 4x Emp Seal","Extra Rich Cloud Cheesecake","-","16.17%","Sky Glass Glazier",7025
"Floating Islands","Arcane Palace - 4x Emp Seal","Extra Rich Cloud Cheesecake","-","15.49%","Sky Glass Sorcerer",7025
"Floating Islands","Arcane Palace - 4x Emp Seal","Extra Rich Cloud Cheesecake","-","8.44%","Sky Dancer",7025
"Floating Islands","Arcane Palace - 3x Glass + Ore","Extra Rich Cloud Cheesecake","-","28.25%","Sky Glider",630
"Floating Islands","Arcane Palace - 3x Glass + Ore","Extra Rich Cloud Cheesecake","-","20.63%","Sky Glass Sorcerer",630
"Floating Islands","Arcane Palace - 3x Glass + Ore","Extra Rich Cloud Cheesecake","-","18.89%","Sky Glass Glazier",630
"Floating Islands","Arcane Palace - 3x Glass + Ore","Extra Rich Cloud Cheesecake","-","17.94%","Empyrean Appraiser",630
"Floating Islands","Arcane Palace - 3x Glass + Ore","Extra Rich Cloud Cheesecake","-","14.29%","Sky Dancer",630
"Floating Islands","Arcane Palace - 4x Glass + Ore","Extra Rich Cloud Cheesecake","-","39.09%","Empyrean Appraiser",2602
"Floating Islands","Arcane Palace - 4x Glass + Ore","Extra Rich Cloud Cheesecake","-","22.83%","Sky Glider",2602
"Floating Islands","Arcane Palace - 4x Glass + Ore","Extra Rich Cloud Cheesecake","-","15.26%","Sky Glass Sorcerer",2602
"Floating Islands","Arcane Palace - 4x Glass + Ore","Extra Rich Cloud Cheesecake","-","14.45%","Sky Glass Glazier",2602
"Floating Islands","Arcane Palace - 4x Glass + Ore","Extra Rich Cloud Cheesecake","-","8.38%","Sky Dancer",2602
"Floating Islands","Arcane Palace - 3x Pirates","Extra Rich Cloud Cheesecake","-","39.84%","Sky Glider",374
"Floating Islands","Arcane Palace - 3x Pirates","Extra Rich Cloud Cheesecake","-","22.99%","Sky Glass Glazier",374
"Floating Islands","Arcane Palace - 3x Pirates","Extra Rich Cloud Cheesecake","-","22.46%","Sky Glass Sorcerer",374
"Floating Islands","Arcane Palace - 3x Pirates","Extra Rich Cloud Cheesecake","-","14.71%","Sky Dancer",374
"Floating Islands","Arcane Palace - 4x Pirates","Extra Rich Cloud Cheesecake","-","37.36%","Sky Glider",736
"Floating Islands","Arcane Palace - 4x Pirates","Extra Rich Cloud Cheesecake","-","25.14%","Sky Glass Sorcerer",736
"Floating Islands","Arcane Palace - 4x Pirates","Extra Rich Cloud Cheesecake","-","23.51%","Sky Glass Glazier",736
"Floating Islands","Arcane Palace - 4x Pirates","Extra Rich Cloud Cheesecake","-","13.99%","Sky Dancer",736
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","24.52%","Sky Glass Glazier",32391
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","17.90%","Richard the Rich",32391
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","17.04%","Sky Dancer",32391
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","16.62%","Sky Glass Sorcerer",32391
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","15.81%","Kite Flyer",32391
"Floating Islands","Arcane Low - 2x Loot","Cloud Cheesecake","-","8.12%","Daydreamer",32391
"Floating Islands","Arcane Low - 2x Loot","Extra Rich Cloud Cheesecake","-","29.57%","Sky Glass Sorcerer",8913
"Floating Islands","Arcane Low - 2x Loot","Extra Rich Cloud Cheesecake","-","29.55%","Sky Glass Glazier",8913
"Floating Islands","Arcane Low - 2x Loot","Extra Rich Cloud Cheesecake","-","26.02%","Richard the Rich",8913
"Floating Islands","Arcane Low - 2x Loot","Extra Rich Cloud Cheesecake","-","14.85%","Sky Dancer",8913
